Timestamp,Umidade Ambiente THT860 (modo temperatura / umidade),Temperatura Ambiente THT860 (modo temperatura / umidade)
08/09/2020 05:41:13,49.3,23
08/09/2020 05:36:07,46.4,22.8
08/09/2020 05:30:57,48.7,22.9
08/09/2020 05:25:49,52.1,22.7
08/09/2020 05:20:42,43.8,22.5
08/09/2020 05:15:35,44.5,22.6
08/09/2020 05:10:27,47.2,22.8
08/09/2020 05:05:22,48.7,22.7
08/09/2020 05:00:15,44.3,22.6
08/09/2020 04:55:09,46.2,22.7
08/09/2020 04:50:01,51.9,22.8
08/09/2020 04:44:56,43.2,22.5
08/09/2020 04:39:48,43.5,22.6
08/09/2020 04:34:42,43.8,22.6
08/09/2020 04:29:34,44.8,22.6
08/09/2020 04:24:25,47.7,22.9
08/09/2020 04:19:18,46.8,22.6
08/09/2020 04:14:12,43.6,22.5
08/09/2020 04:09:06,43.6,22.6
08/09/2020 04:03:59,43.6,22.6
08/09/2020 03:58:51,43.5,22.7
08/09/2020 03:53:44,43.6,22.6
08/09/2020 03:48:37,43.2,22.6
08/09/2020 03:43:28,43.5,22.6
08/09/2020 03:38:21,43.5,22.6
08/09/2020 03:33:14,43.5,22.6
08/09/2020 03:28:08,43.3,22.7
08/09/2020 03:23:00,43.4,22.7
08/09/2020 03:17:55,43.2,22.8
08/09/2020 03:12:48,43.6,22.8
08/09/2020 03:07:43,43.4,22.7
08/09/2020 03:02:37,43.2,22.9
08/09/2020 02:57:30,43.2,22.9
08/09/2020 02:52:24,43.4,23
08/09/2020 02:47:17,43.2,23
08/09/2020 02:42:11,43.2,23
08/09/2020 02:36:47,43,23
08/09/2020 02:31:39,42.9,23
08/09/2020 02:26:30,43,23
08/09/2020 02:21:23,42.8,23
08/09/2020 02:16:18,42.7,23.1
08/09/2020 02:11:11,42.9,23.1
08/09/2020 02:06:06,43.1,23.2
08/09/2020 02:00:58,43.2,23.2
08/09/2020 01:55:51,42.9,23.1
08/09/2020 01:50:43,42.9,23.2
08/09/2020 01:45:36,42.8,23.2
08/09/2020 01:40:29,42.6,23.2
08/09/2020 01:35:21,42.3,23.2
08/09/2020 01:30:15,41.9,23.2
08/09/2020 01:25:09,42.1,23.2
08/09/2020 01:20:05,42,23.2
08/09/2020 01:14:58,42.2,23.2
08/09/2020 01:09:52,41.8,23.2
08/09/2020 01:04:44,41.8,23.2
08/09/2020 00:59:39,42.2,23.3
08/09/2020 00:54:31,42.9,23.4
08/09/2020 00:49:26,42.8,23.2
08/09/2020 00:44:19,43.2,23.5
08/09/2020 00:39:14,43.5,23.5
08/09/2020 00:34:08,43.2,23.5
08/09/2020 00:29:02,43.4,23.5
08/09/2020 00:23:56,43.6,23.5
08/09/2020 00:18:50,43.4,23.6
08/09/2020 00:13:45,43.4,23.6
08/09/2020 00:08:40,43.4,23.6
08/09/2020 00:03:34,43.6,23.6
07/09/2020 23:58:28,43.2,23.6
07/09/2020 23:53:22,43.6,23.5
07/09/2020 23:48:16,43.2,23.5
07/09/2020 23:43:11,43.6,23.4
07/09/2020 23:38:03,43.2,23.3
07/09/2020 23:32:57,43.8,23.6
07/09/2020 23:27:51,43.9,23.6
07/09/2020 23:22:45,43.7,23.6
07/09/2020 23:17:40,43.9,23.5
07/09/2020 23:12:31,43.8,23.4
07/09/2020 23:07:26,42.9,23.2
07/09/2020 23:02:21,42.8,23.5
07/09/2020 22:57:17,42.6,23.4
07/09/2020 22:52:10,44,23.5
07/09/2020 22:47:05,43.3,23.6
07/09/2020 22:42:01,42.6,23.5
07/09/2020 22:36:55,43.2,23.6
07/09/2020 22:31:49,43.9,23.6
